Library, Size
scipy,136M
numpy, 98M
pyarrow, 88M
plotly, 71M
mlflow, 65M
pandas, 49M
gensim, 40M
statsmodels, 35M
Babel, 33M
matplotlib, 18M
selenium, 16M
SQLAlchemy, 15M
mypy, 14M
pip, 13M
argilla, 13M
lxml, 12M
debugpy, 11M
jedi,9.8M
cryptography,9.5M
pydantic,9.0M
langchain,8.9M
Pygments,7.8M
mkdocs,7.0M
nltk,6.4M
unstructured,5.2M
setuptools,4.8M
virtualenv,4.5M
pydantic_core,4.4M
ipython,4.4M
fonttools,4.3M
nh3,3.8M
pylint,3.7M
docutils,3.7M
pytz,2.6M
tiktoken,2.2M
astroid,2.2M
aiohttp,2.1M
Unidecode,2.1M
trio,2.0M
rich,1.9M
alembic,1.9M
tornado,1.9M
Werkzeug,1.7M
chardet,1.7M
grapheme,1.5M
distlib,1.4M
fsspec,1.3M
regex,1.3M
openpyxl,1.3M
XlsxWriter,1.3M
black,1.3M
joblib,1.2M
docker,1.2M
anyio,1.2M
oauthlib,1.2M
tweepy,1.2M
seaborn,1.1M
psutil,1.1M
pycparser,1.1M
griffe,984K
pybind11,932K
Jinja2,916K
greenlet,900K
urllib3,844K
traitlets,792K
patsy,792K
ipykernel,776K
contourpy,768K
dill,760K
bleach,744K
websockets,736K
isort,736K
identify,724K
fastapi,712K
openai,696K
cffi,684K
Flask,672K
jupyter_client,668K
pyflakes,664K
pyppeteer,644K
click,632K
parso,624K
Mako,624K
gunicorn,612K
Markdown,612K
xlrd,600K
httpx,596K
starlette,580K
jsonschema,568K
inquirerpy,564K
httpcore,536K
uvicorn,508K
wcwidth,492K
idna,492K
geopy,492K
wheel,476K
watchdog,476K
numexpr,460K
folium,460K
flake8,460K
pyasn1,436K
gitdb,428K
jupyter_core,420K
requests,396K
pyparsing,388K
marshmallow,384K
nbformat,380K
commonmark,380K
wordcloud,364K
tqdm,360K
typer,356K
diskcache,344K
tomlkit,324K
langsmith,324K
sqlparse,320K
h11,316K
pkginfo,304K
certifi,304K
keyring,300K
packaging,292K
pexpect,288K
arrow,288K
soupsieve,248K
yarl,244K
sortedcontainers,232K
rfc3986,228K
kiwisolver,228K
wrapt,212K
twine,200K
pyrsistent,180K
tabulate,176K
olefile,168K
geographiclib,168K
mkdocstrings,164K
wsproto,160K
pyquery,160K
colorama,160K
platformdirs,156K
multidict,156K
tenacity,152K
smmap,144K
w3lib,140K
pathspec,140K
cssselect,140K
cloudpickle,140K
pluggy,128K
executing,124K
rsa,120K
cookiecutter,120K
branca,120K
asttokens,120K
frozenlist,116K
mistune,112K
itsdangerous,104K
fastjsonschema,100K
backoff, 96K
tinycss2, 92K
blinker, 84K
pyee, 80K
filelock, 80K
exceptiongroup, 80K
MarkupSafe, 80K
ptyprocess, 76K
tomli, 72K
pypandoc, 64K
paginate, 64K
terminado, 60K
mdurl, 60K
defusedxml, 56K
Deprecated, 56K
attrs, 52K
pfzy, 48K
mergedeep, 48K
backcall, 48K
webencodings, 44K
outcome, 40K
iniconfig, 40K
zipp, 36K
cachetools, 36K
termcolor, 28K
sniffio, 28K
comm, 28K
pytest, 24K
appnope, 24K
docx2txt, 16K
binaryornot, 16K
ruff, 12K
aiosignal, 12K
install,8.0K
bs4,8.0K
